title,card_img,price,categories,age,company,company_link,address
N/A,/upload/logos/courses_companies/00029528_1.jpg,,,,,,
Створення сайтів для дітей від 10 років,,1 750 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Front end, верстка, Програмування, розробка, Робототехніка.",Середня школа.,"Robocode, культова школа робототехніки і програмування",/courses/company/32807/,"вул. Вінниченка, 67, м. Луцьк"
"Техніка лапароскопічних операцій на органах черевної порожнини, заочеревинного простору і малого тазу",,,Дорослі.,,N/A,,
"1С 8.3,  ведення бухгалтерського обліку та ФОП",,500 грн,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік, Фінанси, страхування.","Студенти, дорослі.","УкрПрофіЦентр, консультативно-юридичний навчальний центр професіоналів України",/courses/company/2051/,"вул. Пилипа Орлика (9 Січня), 15, поверх 1, оф. 107/1, м. Херсон"
"Англійська мова, загальний",,250 грн за заняття (за 1 годину),Мовні - Англійська мова.,"Середня школа, студенти, дорослі.",Freedom,/courses/company/2209/,"вул. Святотроїцька, 55, оф. 53, м. Черкаси"
BAS Бухгалтерія,,7 000 грн за курс,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік.","Студенти, дорослі, пенсіонери.","Elit-Vector group, центр сертифікованого навчання",/courses/company/3029/,Онлайн
Масаж обличчя,,5 500 грн,"Індустрія краси - Краса, здоров'я; Професійні, підвищення кваліфікації - Медицина, фармацевтика.","Студенти, дорослі.",Rehabilitation school,/courses/company/33308/,Онлайн
1С бухгалтерія,,600 грн,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік.","Студенти, дорослі.",Рарус,/courses/company/3647/,"вул. Стороженка, 12, оф. 64, м. Львів"
Навчання роботи в САПР Julivi,,400 грн,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік.","Студенти, дорослі.",Technology consulting,/courses/company/31965/,"вул. Шевченко, 11, м. Хмельницький, 29001"
"Англійська мова в групах, з викладачем із США",,1 500 грн,Мовні - Англійська мова.,"Середня школа, студенти, дорослі.",English Direct Language School,/courses/company/31690/,"вул. Глінки, 16, м. Дніпро"
Англійська мова,,1 200 грн,Мовні - Англійська мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі.","Abcland, центр іноземних мов",/courses/company/6918/,Онлайн
Астрологія,,300 грн,"Мистецтво, творчість - Інше.",Дорослі.,Школа астрології Марини Артемової,/courses/company/34255/,"вул. Заміська, 42, м. Дніпро"
Дитяча школа моделей,,8 500 грн,"Мистецтво, творчість - Акторська майстерність, Фотографія, відеозйомка.","Молодша школа, середня школа, студенти.",Diamond models school,/courses/company/29880/,"вул. Межигірська, 30, м. Київ"
Перукар,,2 600 грн за курс,Індустрія краси - Перукарське мистецтво.,"Середня школа, студенти, дорослі.",Віртуал,/courses/company/29796/,"пров. Механізаторів, 2, м. Гайсин, 23700"
"Фотокоучінг, фототренерство",,100 грн,"Мистецтво, творчість - Фотографія, відеозйомка.","Молодша школа, середня школа, студенти, дорослі, пенсіонери.",Photo city,/courses/company/31815/,"просп. Миру, 9, м. Краматорськ"
Англійська мова,,35 грн,"Мовні - Англійська мова, Українська мова, Українська мова для іноземців.","Молодша школа, середня школа, студенти, дорослі, пенсіонери.","Happy English, школа англійської мови",/courses/company/7809/,"вул. Героїв Майдану, 10, оф. 200, м. Хмельницький"
N/A,/upload/logos/courses_companies/00007902_1.png,,,,,,
Java для початкiвцiв,,5 800 грн,"Інформаційні технології, IT - Програмування, розробка.","Середня школа, студенти, дорослі.",Lemon.School,/courses/company/29505/,"вул. Сумська, 5, м. Харків"
Масаж,,10 000 грн,Індустрія краси - Масаж.,"Студенти, дорослі.",Tria School,/courses/company/34139/,"вул. Тараса Бобанича, 17, м. Львів"
Англійська мова з нуля,,2 100 грн на місяць,Мовні - Англійська мова.,"Середня школа, студенти, дорослі.",Yogy english center,/courses/company/29964/,"вул. Жуковського, 26, м. Одеса"
"Англійська мова, групова",,1 000 грн,Мовні - Англійська мова.,"Середня школа, студенти, дорослі, пенсіонери.",Персеверанс,/courses/company/7320/,"вул. Київський шлях, 11, м. Бориспіль"
Іспанська мова,,1 100 грн,Мовні - Іспанська мова.,"Молодша школа, середня школа, студенти, дорослі.","Centro vamos, іспанський центр",/courses/company/4095/,"вул. Кирилівська, 3, м. Київ"
Англійска мова,,1 500 грн на місяць,Мовні - Англійська мова.,"Студенти, дорослі.","School of English, курси англійської мови",/courses/company/993/,"вул. Галицька, 65, каб. 311, м. Івано-Франківськ"
Ментальна арифметика,,1 200 грн на місяць (ціна залежить від регіону),"Розвиток дітей - Дошкільна освіта, Початкова школа.","Дошкільники, молодша школа, середня школа.",Indigo mental club,/courses/company/32098/,"вул. Катерининська, 27/1, м. Одеса"
Мала комп'ютерна академія,,,"Молодша школа, середня школа.",,N/A,,
Акторська майстерність,,2 000 грн на місяць,"Мистецтво, творчість - Акторська майстерність.","Молодша школа, середня школа, студенти, дорослі.","Лукомор'я, театр",/courses/company/4384/,"вул. Плеханівська, 124, оф. 436, 437 м. Харків"
Створення сайтів для дітей від 10 років,,1 750 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Front end, верстка, Програмування, розробка, Робототехніка.",Середня школа.,"Robocode, культова школа робототехніки і програмування",/courses/company/32821/,"вул. Ламана, 19, м. Дніпро"
"Англійська мова для дітей та дорослих, онлайн та офлайн",,,"Дошкільники, молодша школа, середня школа, студенти, дорослі.",,N/A,,
Словацька мова,,2 000 грн на місяць (2 заняття на тиждень),Мовні - Словацька мова.,"Середня школа, студенти, дорослі.",Come study in Slovakia,/courses/company/34382/,Онлайн
Сертифікований курс гідів та гідів-перекладачів Одеси за ДСТУ EN 15565,,,"Студенти, дорослі, пенсіонери.",,N/A,,
"Автошкола, онлайн",,3 500 грн,Водіння - Автошкола (одержання прав).,"Студенти, дорослі, пенсіонери.",Автошкола Максименко,/courses/company/32262/,Онлайн
"Бухгалтерський облік з нуля в комплексі з BAS-1С 8.3, головний бухгалтер, звітність",,12 960 грн за курс (11520 онлайн навчання),"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік.","Студенти, дорослі.","Пульс, навчальний центр",/courses/company/7131/,Онлайн
N/A,/upload/logos/courses_companies/00006390_1.png,,,,,,
